INFO  2009-05-11T16:06:00,462 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[] created [main]
DEBUG 2009-05-11T16:06:01,409 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:4] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis artifactId:net.sf.vanadis.services version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/net.sf.vanadis.services/1.1-SNAPSHOT/net.sf.vanadis.services-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,410 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:5] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.httpwhiteboard version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.httpwhiteboard/1.1-SNAPSHOT/net.sf.vanadis.modules.httpwhiteboard-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,411 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:6] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.commands version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.commands/1.1-SNAPSHOT/net.sf.vanadis.modules.commands-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,411 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:7] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.jmxsetup version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.jmxsetup/1.1-SNAPSHOT/net.sf.vanadis.modules.jmxsetup-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,411 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:8] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.networker version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.networker/1.1-SNAPSHOT/net.sf.vanadis.modules.networker-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,412 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:9] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.remoting version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.remoting/1.1-SNAPSHOT/net.sf.vanadis.modules.remoting-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,413 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:10] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.httpprovider version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.httpprovider/1.1-SNAPSHOT/net.sf.vanadis.modules.httpprovider-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,413 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:11] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.reposerv version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.reposerv/1.1-SNAPSHOT/net.sf.vanadis.modules.reposerv-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,414 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:12] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.scripting version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.scripting/1.1-SNAPSHOT/net.sf.vanadis.modules.scripting-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,416 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:13] forwarded BundleSpecification[Coordinate[groupId:org.apache.felix artifactId:org.apache.felix.eventadmin version:Version[1.0.0] type:jar] uri:file:/Users/kjetil/.m2/repository/org/apache/felix/org.apache.felix.eventadmin/1.0.0/org.apache.felix.eventadmin-1.0.0.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
